system_id,word,ner
1,民視,ORG
1,基隆,GPE
1,即時中心,ORG
1,潘柏廷,PERSON
1,基隆市,GPE
1,安樂區,GPE
1,今日,DATE
1,凌晨,TIME
1,賴,PERSON
1,黃,PERSON
1,賴,PERSON
1,黃,PERSON
1,今日上午,TIME
1,安樂區基金路,FAC
1,賴,PERSON
1,隔島,LOC
1,賴,PERSON
1,黃,PERSON
1,交通警察隊,ORG
2,台灣,GPE
3,三峽,LOC
3,北大國,ORG
3,陳以昇,PERSON
3,戴若涵,PERSON
3,新北,GPE
3,新北市三峽區,GPE
3,國光街,LOC
3,北大國,GPE
3,下午時分,TIME
3,復興路,LOC
4,安安,PERSON
4,安安,PERSON
4,三峽國中,ORG
4,北大,ORG
4,復興路,LOC
5,中時,ORG
5,黃仲瑜,PERSON
5,三峽,LOC
5,北大國小,ORG
5,國光街,LOC
5,國成街口,LOC
5,復興路,FAC
5,三峽區,GPE
5,北大國,ORG
6,台灣人,NORP
6,台灣人,NORP
6,關年個月,DATE
6,台灣,GPE
7,三峽,LOC
7,北大國,GPE
7,陳以昇,PERSON
7,莊智勝,PERSON
7,新北,GPE
7,新北市三峽區,GPE
7,國光街,LOC
7,北大國,GPE
7,下午時分,TIME
8,偉栽鬼島,PERSON
9,台灣,NORP
9,歐洲,LOC
9,美國,GPE
9,阿拉花瓜,PERSON
9,花蓮早餐店,ORG
9,新北,GPE
9,三峽,LOC
10,七十五歲,DATE
10,幾年,DATE
10,台灣,GPE
10,中國,GPE
11,新北,GPE
11,呂品逸,PERSON
11,年月,DATE
11,三峽地區,LOC
11,新北市,GPE
11,三峽,LOC
11,今天,DATE
11,下午,TIME
11,北大國小,FAC
11,國成路,FAC
11,國光街,FAC
12,秋葉,ORG
12,七,CARDINAL
12,十,CARDINAL
12,三峽,LOC
12,秋葉原,FAC
12,七,CARDINAL
13,台中,GPE
13,新北ㄛ,GPE
14,三峽,LOC
15,三千,CARDINAL
15,台灣人,NORP
15,台灣人,NORP
16,中共,ORG
17,三峽歲,DATE
18,今天,DATE
19,八點,TIME
20,台灣,GPE
20,三峽,LOC
20,台灣,GPE
21,壹蘋新聞網,ORG
21,黃泓哲,PERSON
21,黃泓哲,PERSON
21,台北,GPE
21,新北市,GPE
21,國光街,FAC
21,中央分隔島,FAC
21,恩主公醫院,FAC
21,恩主公醫院,ORG
22,今天,DATE
23,尼歐,PERSON
23,三峽,LOC
23,阿,GPE
23,三,CARDINAL
23,中文字,LANGUAGE
23,中文字,LANGUAGE
23,中文字,LANGUAGE
