system_id,sentence
1,民視
1,快新聞基隆死亡車禍
1,歲少年無照雙載過彎撞分隔島釀死命危
1,即時中心潘柏廷報導
1,基隆市安樂區今日凌晨發生嚴重車禍事故
1,名歲賴姓少年無照騎車，並載著歲
1,黃姓友人
1,行經基金路號附近時，
1,疑似車速過快，過彎時突然失控直接向左偏移，直撞
1,上中央分隔島
1,警消獲報後，發現
1,賴姓少年已經無呼吸心跳，緊急送醫後搶救不治，至於另
1,位黃姓男子則意識不清
1,，仍在醫院搶救當中
1,警方指出，今日上午時許獲報，於安樂區基金路發生起普重機車自撞交通事故，為
1,名歲賴姓男子騎乘普重機車附載歲黃姓男子自撞分隔島
1,現場由消防隊緊急搶救，然而賴姓駕駛經送醫後宣告不治，黃姓男子仍在醫院搶救中
1,警方
1,說明，駕駛經實施抽血酒精濃度檢測，確認無酒駕情事，案發後由交通警察隊依規定到場測
1,繪，以釐清詳細肇事責任
1,警方呼籲，切勿無照駕駛，行車時務必遵守交通規則，減速慢行，以維護用路安全
1,/////
1,下次不敢了
2,每次看到這新聞我反而不會關注在無照，而是駕駛習慣這種駕駛習慣有駕照也是很糟糕
2,看起來像右轉彎太快直接外拋撞上去
2,講真的台灣堆人都不會正確轉彎，因為考照根本沒考，都是靠本能經驗去學習
2,技術不好情況你就乖乖的過去就好，技術好也不要超過
2,這種撞爆的感覺就超過，而且撞上前也沒立即減速，正常急煞之後重壓前煞定
2,會外拋，但撞擊力道可以減到最輕頂多就摔車運氣好擦挫傷，運氣不好車子壓斷你
2,的骨頭，更糟糕情況就是被學長收掉
2,建議拉如果沒有長時間在家裡附近練習的就慢慢騎到可以練習的場地熟悉轉彎煞車
2,因為他的車主手冊教的比考照詳細，考照根本沒教你怎麼正確轉彎，更不用說左轉了
2,左轉講都沒講
3,快訊三峽北大國小旁車輛暴衝
3,釀多人傷其中人無呼吸心跳
3,記者陳以昇戴若涵新北報導
3,新北市三峽區國光街國成街口北大國小旁日下午時分，發生起嚴重事故
3,部轎車因不明原因暴衝，衝撞多人，其中人當場失去呼吸心跳
3,警消獲報到場，趕緊將
3,人送醫搶救，至於肇事車輛則路行駛到復興路才自撞停下，至於詳細事故發生原因及經過
3,，仍有待進步調查釐清
3,///
4,安安，各位安安，買不起房子的魯蛇安安
4,事情是這樣子的喇
4,那邊我熟，現在這時間就是堆國小幼稚園家長接小孩的時間
4,包含三峽國中都會走這個路口回北大，理論上那時候路口都是學生
4,從國光國成路口衝到復興路
5,媒體來源
5,中時
5,記者署名
5,黃仲瑜
5,完整新聞標題
5,快訊三峽北大國小車輛暴衝家長學生多人倒地命危
5,完整新聞內文
5,新北市三峽區國光街與國成街口，發生車輛疑似暴衝事件，現場多位民眾遭受撞擊，消防
5,局獲報立即派遣多輛救護車到場，初步估算有多名傷者，其中有人當場無呼吸脈搏，
5,而暴衝車輛，行駛到復興路上才自撞受困，目前傷者還在陸續送醫中，現場交通相當混亂
5,，請民眾提早繞路，勿靠近圍觀，詳細車禍原因還有待警方釐清中
5,據了解現場在三峽區北大國小旁，詳細車禍狀況還在釐清中
5,根據民眾描述，車禍地點在國小旁路口，當時正是放學時間，現場都是家長跟下課的學生
5,，當時車輛快速撞擊，導致家長跟學生噴飛倒地，很多人當場倒地血流如注，其他家長見
5,狀立即上前，有家長跟學生當場無呼吸脈搏，多人在路旁直接急救，畫面相當混亂，
5,目前得知傷者都已經送醫，總人數還在統計中
5,完整新聞連結或短網址不可用等轉載媒體
5,///
5,備註
5,///
5,_
5,/
6,台灣人看到國外類似事情發生，
6,往往都群在那嘲笑戲謔，
6,要多沒口德就多沒口德，
6,發生在自己身邊才知道痛
6,起碼國外會重判啦
6,反觀假裝很悲憤
6,卻仍要挺惡挺輕刑的台灣人
6,在這種挺輕刑的社會氛圍下
6,認真說
6,過失大概年以下實際關年個月吧
6,故意年實際關年
6,然後全國性的輕刑法律問題
6,刑法失去嚇阻力
6,就整天在那市長負責里長負責的
6,台灣真的活該
7,快訊三峽北大國小旁重大車禍命危歲駕駛臉部擦傷送醫
7,/////
7,▲三峽重大事故，歲駕駛因不明原因駕車暴衝，造成人輕重傷，其中人命危
7,圖
7,民眾提供
7,記者陳以昇莊智勝新北報導
7,新北市三峽區國光街國成街口北大國小旁日下午時分放學時間傳出重大車禍
7,，初步了解，現場輛自小客行經該路段時，突因不明原因失控暴衝，衝撞多名路人，現
7,場共人輕重傷，其中人傷勢嚴重，當使失去呼吸心跳，現場民眾立即協助
7,據調查
7,，肇事的駕駛是名歲男性，因撞擊當下安全氣囊爆開，因此僅臉部擦挫傷，目前送往
7,醫院治療，詳細肇事原因尚待進步釐清
7,/////
7,/////
7,/////
8,各位對於這種事情應該也見怪不怪了吧畢竟這裡是鬼島
8,而且就算真的有人過世我們過失致死最重也才年
8,想想你家人你朋友甚至你自己被撞到死或是半身不遂
8,對方脫產然後關年偉栽鬼島司法
9,如題啦
9,台灣鄉民時常說
9,歐洲美國若有恐怖攻擊
9,都會說是阿拉花瓜
9,結果
9,花蓮早餐店被整台車撞進去
9,新北三峽汽車暴衝撞人
9,嚇死人了
9,相關單位在幹嘛
9,社會安全網呢
9,有沒有卦
10,緊
10,經
10,沒事沒事
10,只是撞死人而已，又不是高官跟法律人，絕對不會判死刑啦，七十五歲是能判幾年徒刑，
10,要錢沒有反正以後領現金就好
10,還好這是在台灣，要是這是在中國就死刑了，謝謝黨的德政
11,//星期
11,上報
11,新北車輛暴衝撞國小學生名學童失去呼吸心跳
11,上報快訊呂品逸年月日
11,警消獲報三峽地區發生重大車禍造成多人受傷人失去呼吸心跳，目前正趕往現場
11,合
11,成照片翻攝畫面
11,新北市三峽今天日下午發生重大車禍，疑有輛自小客車在北大國小附近的國成路
11,國光街口突然暴衝，直接衝進群國小學童中，其中名學童當場失去生命跡象，現場民眾
11,見狀，在等待救護車之前，緊急就地幫學童做，警消目前已趕到現場，將傷者緊急送醫
11,據了解，開車的駕駛為輕傷，至於肇事情形仍待警方調查
11,///_
11,社會安全網又破了
12,年在秋葉原有人開車無差別撞人
12,最後釀成七死十傷的悲劇
12,兇手也在前陣子被處死了
12,三峽這次的開車撞人也會是當年秋葉原的翻版嗎
12,剛剛看新聞以及七個沒呼吸心跳
13,貧富越不均的
13,就越容易有這種事
13,有錢人繳的不是稅
13,是保護費
13,但是保護費有沒有效
13,那看私校就知道
13,不然台中為什麼私校那麼呱張
13,反正新北ㄛ
13,上次清水乾哥什麼ㄉ
13,就知道也沒救ㄌ
13,警察市長嘻嘻
14,剛剛看完三峽車禍影片
14,太誇張了完全沒減速路撞到底
14,機車行人都被撞飛
14,那車速是要趕去投胎嗎
14,不知道各位怎麼看
15,年撞死三千人，對社會危害如此重大
15,但台灣人覺得
15,撞死再多人觀感觀感永遠比紅牌重機好
15,全世界哪比得上台灣人的價值邏輯
15,交通爛成這樣全推給人民素質
15,永遠沒有任何官員需要負責
15,厲害了花果山群猴福地
16,青鳥定是中共製造的恐慌
16,我們定要小心
16,相信呆丸人的駕駛技術跟道德
16,所以定要站出來大罷免
16,這樣這類事件就會減少
16,如果讓藍白立委再這樣惡搞下去
16,這樣的事件只會層出不窮
16,各位定站出來支持大罷免
16,才能有效降低事故發生
16,這樣我可以外派出國玩嗎
17,三峽歲男子開車暴衝放學人潮傷人送醫
17,所以大家不要再問歲了，
17,其實是歲
18,今天如果換成個未成年的小學生
18,殺死這麼多人
18,你們是樣的態度嗎
18,你們為甚麼要對老人這麼壞
18,小孩拿到槍還是武器還是弄錯東西
18,也會害死很多人啊
18,你們換個角度想阿
18,錯不再東西
18,錯使用的人啊
18,大家覺得呢
19,對老人可以開車上路這點感覺到很奇怪
19,這些老人家身體機能都已經退化了
19,你卻讓他還可以開著車上路
19,這樣不就跟八點檔樣玩碰碰車了
19,而且這些老人年紀都已經那麼大了
19,法律對他也沒什麼用
19,口氣撞死好幾個，也拿他沒辦法啊
20,台灣各種交通亂象酒駕毒駕未曾改善
20,政府還帶頭修法，放寬違停等微罪不罰
20,之前同事被車撞到骨折還打鋼釘要復健
20,還慶幸說還好是被撞到
20,當下就有保險公司處理，後續開了各種賠償項目給對方
20,像三峽的國小車禍這個跨爪
20,寶貴的年輕生命走了
20,受害者跟家屬大概也求償無門
20,老人沒在工作賺錢，兩手攤也不怕被關
20,真的被關了，他的兒女還省筆請看護或療養院的錢
20,在台灣已經不是交通安全的問題了
20,甚至被車撞了是不是也要賭運氣
21,三峽歲翁駕車國小前暴衝傷命危女到院前已
21,壹蘋新聞網
21,//壹蘋新聞網/黃泓哲綜合報導
21,記者黃泓哲台北報導新北市三峽區今午後時發生起嚴重車禍，名歲老翁駕
21,駛的車輛疑似突然暴衝，直衝國光街與國成街口人行道，造成現場民眾四散奔逃，多人被
21,撞倒
21,消防局接獲報案後立刻派出多輛救護車趕往現場，初步估計共人受傷，其中人
21,當場失去呼吸心跳，包括名年僅歲與歲的女學生，及名歲的女性家長
21,肇事車
21,輛最終撞上中央分隔島才停下，駕駛本人也度昏迷，連同傷者共有人送往恩主公醫院
21,急救
21,恩主公醫院指出，目前共有名傷者送至院內，其中名女性到院前已，情況危急
21,另
21,有名女性骨折名女性與名男性身上有擦傷，院方正全力搶救中
21,/////
22,今天開車都能撞學童
22,重機速度更快
22,而且重機騎士都是魯蛇
22,貸款都沒錢繳更沒錢賠
22,你認為重機這樣能上國道
22,錢賠得出來嗎
23,乳提我尼歐
23,剛剛在上面查了下三峽
23,就看到影片了
23,那個根本沒剎車直接衝撞行人
23,騎機車的安全帽還被噴到空中在掉下來
23,這太血腥了
23,到底這種意外要怎麼預防阿
23,是否有專板
23,本板並非萬能問板
23,三則
23,本看板嚴格禁止政治問卦
23,未滿繁體中文字水桶個月
23,未滿繁體中文字水桶個月
23,未滿繁體中文字水桶個月，嚴重者以鬧板論
24,快訊三峽恐怖撞擊瞬間曝光
24,失控轎車闖紅燈高速衝撞米
24,新聞雲
24,記者陳以昇黃彥傑莊智勝新北報導
24,新北市三峽區國光街國成街口北大國小旁日下午時分放學時間傳出重大車禍
24,，造成人輕重傷，其中人失去呼吸心跳
24,現場行車紀錄器拍下，當時許多學生放學走
24,出校門，熙熙攘攘走斑馬線過馬路，未料輛自小客車闖越紅燈筆直高速撞上，在路口
24,停等紅燈的機車過馬路的學童當場被撞飛，由於事發太過突然，現場目擊民眾嚇傻，
24,度愣在原地數秒才反應過來
24,初步了解，該輛肇事的小客車衝撞約公尺，直到撞上中央分隔島後才停下
24,警方調查
24,，肇事駕駛高齡歲，撞擊後陷入昏迷，目前緊急送醫，詳細肇事原因仍待進步調查釐
24,清
24,/////
25,媒體來源民視
25,記者署名張瑋珊報導
25,完整新聞標題三峽重大車禍歲駕駛昏迷急救
25,學童躺地緊急畫面曝
25,完整新聞內文
25,新北市三峽區國成路國光街口，今日下午時分發生重大車禍，自小客車不明原
25,因衝撞多名路人，造成多名學童輕重傷，人當場失去生命跡象，分別送往恩主公醫院
25,土城長庚與板橋亞東醫院
25,初步了解，昏迷送醫急救的傷者為歲的轎車駕駛
25,如今現
25,場畫面曝光，只見畫面中滿地都是散落的書包及車殼碎片，多名受傷的學童躺在地上由救
25,護人員緊急進行，畫面相當怵目驚心
25,新北市三峽區國成路國光街口，今日下午發生起重大車禍，名歲的老翁駕駛
25,自小客車行經國光街國成街口北大國小旁時，車輛突然失控衝撞多名路人後，疑
25,似肇事逃逸，路衝到復興路撞分隔島才停下，造成人當場失去生命跡象，其中人送往
25,恩主公醫院，人送往土城長庚，人送往板橋亞東醫院
25,警消獲報後到場救治，其中多名傷者為國中小學童，從現場畫面可見，路上滿地都是學童
25,散落的書包課本等雜物，還有許多車殼碎片
25,多名受傷學童則躺在路中，由現場醫護人
25,員緊急進行救治，畫面相當怵目驚心
25,詳細事故發生原因及經過，仍有待進步調查
25,釐清
25,最新傷亡名單
25,男，，昏迷，送亞東
25,女，，，送恩主公
25,女，，清醒，送亞東
25,女，，送亞東
25,女，，，送恩主公
25,男，，送土城長庚
25,女，，土城長庚
25,女，，土城長庚
25,女，，，送亞東
25,女，，，土城長庚
25,女，，亞東
25,男，，昏迷，送恩主公
25,女，，土城長庚
25,女，，恩主公
25,女，，恩主公
25,男，，清醒，土城長庚
25,完整新聞連結
25,/////
25,備註
25,唉新北什麼時候能安居樂業
25,個新北孩童躺在地上
25,我豪難過
26,句話
26,台灣人自業自得
26,當有人在檢舉交通違規的時候
26,傾全國之力把這些人打成十惡不赦的檢舉達人
26,接著票全投給那些放寬交通違規的民代
26,問到交通先插測速賺錢
26,接著取消檢舉機制
26,再來放寬駕照條件
26,癲癇或高齡你想領就領
